step,loss,grad_norm,learning_rate,rewards/answer_accuracy_reward,rewards/answer_format_reward,reward,reward_std,completion_length,kl,epoch,train_runtime,train_samples_per_second,train_steps_per_second,train_loss
62,0.0,0.858445942401886,1e-06,0.125,0.75,0.875,0.25,43.1875,0.00010442733764648438,0.14,,,,
63,0.0,0.9307700991630554,1e-06,0.1875,0.8125,1.0,0.39433756470680237,32.6875,0.00107574462890625,0.15,,,,
64,0.0,0.10501471906900406,1e-06,0.0625,0.9375,1.0,0.20412415266036987,39.4375,0.00029468536376953125,0.15,,,,
65,0.0,1.0336037874221802,1e-06,0.1875,0.75,0.9375,0.5193375647068024,59.9375,0.0007762908935546875,0.15,,,,
66,0.0,0.3649023175239563,1e-06,0.125,1.0,1.125,0.25,34.3125,0.00022172927856445312,0.15,,,,
67,0.0,0.4513894021511078,1e-06,0.375,0.875,1.25,0.5,78.125,0.00016546249389648438,0.16,,,,
68,0.0001,1.0539069175720215,1e-06,0.125,0.6875,0.8125,0.47346171736717224,48.1875,0.0023059844970703125,0.16,,,,
69,0.0001,0.9135409593582153,1e-06,0.5,0.6875,1.1875,0.5791241526603699,82.6875,0.00202178955078125,0.16,,,,
70,0.0,0.494824081659317,1e-06,0.0625,0.625,0.6875,0.41367512941360474,100.6875,0.0005893707275390625,0.16,,,,
71,0.0001,2.053501844406128,1e-06,0.0,0.3125,0.3125,0.26933756470680237,18.6875,0.00146484375,0.17,,,,
72,0.0001,1.249221682548523,1e-06,0.0,0.75,0.75,0.39433756470680237,54.625,0.001495361328125,0.17,,,,
73,0.0,0.7973303198814392,1e-06,0.3125,0.625,0.9375,0.3291241526603699,27.375,0.0001850128173828125,0.17,,,,
74,0.0,0.8249289989471436,1e-06,0.375,0.75,1.125,0.5086943507194519,22.5,0.0012493133544921875,0.17,,,,
75,0.0001,1.6348737478256226,1e-06,0.0,0.5,0.5,0.28867512941360474,17.25,0.0020599365234375,0.18,,,,
76,0.0,0.8616304397583008,1e-06,0.1875,0.8125,1.0,0.36435678601264954,23.625,0.000812530517578125,0.18,,,,
77,0.0,0.5928224325180054,1e-06,0.0625,0.6875,0.75,0.25,17.1875,0.0002956390380859375,0.18,,,,
78,0.0002,0.9921978116035461,1e-06,0.3125,0.8125,1.125,0.7726050913333893,82.5,0.0045337677001953125,0.18,,,,
79,0.0005,2.824331760406494,1e-06,0.25,0.6875,0.9375,0.7321560680866241,22.375,0.0121307373046875,0.18,,,,
80,0.0002,1.249090552330017,1e-06,0.0,0.75,0.75,0.5,91.125,0.003795623779296875,0.19,,,,
81,0.0001,4.110337257385254,1e-06,0.3125,0.875,1.1875,0.6037135720252991,61.5625,0.002338409423828125,0.19,,,,
82,0.0,0.8700316548347473,1e-06,0.0625,0.5,0.5625,0.26933756470680237,98.25,0.0006303787231445312,0.19,,,,
83,0.0,0.2503218352794647,1e-06,0.0625,0.6875,0.75,0.25,51.3125,0.0003592967987060547,0.19,,,,
84,0.0,0.4584592878818512,1e-06,0.125,0.75,0.875,0.5086943507194519,131.125,0.00022029876708984375,0.2,,,,
85,0.0,0.45058056712150574,1e-06,0.4375,0.6875,1.125,0.39433756470680237,70.0,0.00055694580078125,0.2,,,,
86,0.0001,1.4259827136993408,1e-06,0.25,0.75,1.0,0.4927992820739746,28.3125,0.0017328262329101562,0.2,,,,
